State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
IN,18071,JACKSON,3114.95,9329371.93,4528193.79,0,225223.35,0,0,122077.07,4453877.72,778.34
IN,18073,JASPER,2757.15,5296596.52,2770196.22,0,203763.3,0,0,178007.25,2144629.75,496.21
IN,18075,JAY,1959.36,4334602.99,1963957.78,0,42041.04,0,0,56894.53,2271709.64,520.22
IN,18077,JEFFERSON,2870.04,9711844.95,5272310.7,0,171167.7,0,0,98000.39,4170366.16,765.33
IN,18079,JENNINGS,2377.08,7364459.29,3538912.63,0,213124.7,0,0,210462.45,3401959.51,494.21
IN,18081,JOHNSON,11303.12,31385580.23,14035773.81,0,1806902.65,0,0,460584.04,15082319.72,2073.9
IN,18083,KNOX,3246.6,10499512.54,6058365.61,0,322436.35,0,0,179576.54,3939134.04,955.41
IN,18085,KOSCIUSKO,5758.95,14540393.55,6195266.55,0,382233.46,0,0,134756.1,7828137.45,1390.6
IN,18087,LAGRANGE,1877.46,4572936.49,2234690.69,0,110913.94,0,0,75818.67,2151513.2,425.18
IN,18089,LAKE,39324.11,97306479.54,43491204.26,0,3619869.51,0,0,1904272.49,48291133.27,7219.12
IN,18091,LA PORTE,10826.18,22041656.27,10252490.1,0,884032.69,0,0,604903.32,10300230.15,1786.77
IN,18093,LAWRENCE,4116.67,12169243.96,6765271.03,0,364744.08,0,0,149149.98,4890078.86,995.43
IN,18095,MADISON,12796.88,36039017.18,18872500.33,0,813148.5,0,0,498126.84,15855241.51,2313
IN,18097,MARION,61544.91,314346008,107087812.5,6104935.9,9862741.63,0,26156288.41,3829567.07,161304662.4,16572.16
IN,18099,MARSHALL,3170.1,8212463.07,3749280.19,0,369922.52,0,0,299513.15,3793747.21,890.38
IN,18101,MARTIN,1109.13,2797891.05,1659733.24,0,114953.68,0,0,44139.92,979064.21,284.12
IN,18103,MIAMI,4220.46,15800347.88,8779630.13,0,428255.99,0,0,112546.74,6479915.03,1096.47
IN,18105,MONROE,7333.07,22927491.92,11100516.85,0,2133545.69,0,0,943868.49,8749560.88,2149.93
IN,18107,MONTGOMERY,3167.59,8664976.06,3177343.64,0,146799.38,0,0,86223.74,5254609.3,650.28
IN,18109,MORGAN,6745.92,16779517.06,7587704.49,0,587447.3,0,0,176076.94,8428288.33,1223.53
IN,18111,NEWTON,1541.67,3785579.3,1417334.2,0,76504.97,0,0,29879.85,2261860.28,268.12
IN,18113,NOBLE,3526.76,8947782.6,4145061.4,0,289629.48,0,0,81404.73,4431687,855.37
IN,18115,OHIO,631.86,1398256.46,639724.82,0,53404.54,0,0,2456.1,702671,166.07
IN,18117,ORANGE,1733.36,5281791.34,2677702.17,0,110428.21,0,0,6464.72,2487196.25,442.19
IN,18119,OWEN,2716.93,6583610.52,3263392.1,0,112749.82,0,0,64966.49,3142502.11,499.22
IN,18121,PARKE,1439.51,5129607.63,2050536.92,0,44071.3,0,0,29006.2,3005993.21,450.19
IN,18123,PERRY,1660.17,4609415.26,2286689.92,0,33770.1,0,0,37756.17,2251199.08,424.18
IN,18125,PIKE,1174.02,3011474.69,1935648.1,0,68634.97,0,0,23196.98,983994.65,271.12
IN,18127,PORTER,14505.02,25830189.27,12662078.5,0,1606806.53,0,0,659812.15,10901492.1,1935.84
IN,18129,POSEY,2197.15,6472503.7,3480352.18,0,288666.62,0,0,191006.49,2512478.4,518.22
IN,18131,PULASKI,1149.52,3027611.37,1431954.11,0,167331.5,0,0,71338.05,1356987.72,255.11
IN,18133,PUTNAM,2840.94,9374119.99,4282343.11,0,191187.26,0,0,183478.13,4717111.49,635.27
IN,18135,RANDOLPH,1993.93,7979133.32,3498463.79,0,102929.41,0,0,71738.89,4306001.23,666.29
IN,18137,RIPLEY,2212.02,7474972.2,3294489.42,0,144024.33,0,0,36632.02,3999826.44,593.26
IN,18139,RUSH,1745.48,4449058.91,2008271.26,0,80310.27,0,0,528771.82,1831705.57,287.12
IN,18141,ST JOSEPH,19833.14,41535295.92,21980740.11,0,2081318.6,0,0,1262039.87,16211197.34,5052.18
IN,18143,SCOTT,1956.22,7532816.02,3075556.72,0,147841.32,0,0,17667.87,4291750.11,582.25
IN,18145,SHELBY,4065.28,11974779.69,5197049.85,0,202167.05,0,0,123155.92,6452406.88,771.33
IN,18147,SPENCER,1833.4,5440758.67,3027289.94,0,185713.11,0,0,32284.7,2195470.92,431.19
IN,18149,STARKE,1956.1,5622961.28,2320952.21,0,111938.32,0,0,109301.75,3080769,440.19
IN,18151,STEUBEN,2525.58,6943905.1,3586661.05,0,228591.28,0,0,74281.3,3054371.47,668.29
IN,18153,SULLIVAN,2199.14,5695064.8,2953838.76,0,141349.13,0,0,98938.56,2500938.35,501.22
IN,18155,SWITZERLAND,962.02,3445025.37,1501257.41,0,134008.96,0,0,10954.56,1798804.43,236.1
IN,18157,TIPPECANOE,10431.82,32209931.52,15133337.54,0,2539076.72,0,0,586563.71,13950953.56,1972.85
IN,18159,TIPTON,1403.5,3623945.25,2245180.51,0,87750.41,0,0,23570.77,1267443.55,237.1
IN,18161,UNION,576.94,1994121.53,704693.44,0,31123.54,0,0,11060.16,1247244.38,136.06
IN,18163,VANDERBURGH,13978.58,48481583.39,24260043.09,0,1848711.47,0,0,1136582.34,21236246.49,4247.84
IN,18165,VERMILLION,1736.1,6506522.08,2539820.79,0,138187.51,0,0,64710.23,3763803.55,486.21
IN,18167,VIGO,7799.53,28091468.51,13481638.29,0,1133760.31,0,0,503791.87,12972278.04,2583.12
IN,18169,WABASH,3093.96,10872658.35,5086107.93,0,160514.87,0,0,230744.65,5395290.9,821.35
IN,18171,WARREN,762.66,3975251.25,1029623.95,0,36656.89,0,0,2610.05,2906360.36,252.11
IN,18173,WARRICK,5712.96,13125634.04,7596435.68,0,484655.39,0,0,222279,4822263.97,1054.46
IN,18175,WASHINGTON,2300.03,11056751.8,4296011.62,0,229580.06,0,0,107243.75,6423916.37,717.31
IN,18177,WAYNE,6421.17,21751543.83,8949188.98,0,579590.21,0,0,306518.2,11916246.44,1805.78
IN,18179,WELLS,2313.58,5203376.93,2542298.78,0,157262.85,0,0,57712.22,2446103.08,507.22
IN,18181,WHITE,2354.06,6161536.15,3205513.9,0,141974.08,0,0,179067.76,2634980.41,543.23
IN,18183,WHITLEY,2713.89,6379918.18,3168655.03,0,196242.55,0,0,44840.47,2970180.13,632.27
IA,19001,ADAIR,880.26,2304493.64,854506.98,0,54537.52,0,0,50891.51,1344557.64,163.07
IA,19003,ADAMS,330.53,1256425.51,510702.22,0,6536.19,0,0,3771.82,735415.29,102.04
IA,19005,ALLAMAKEE,1424.85,4353404.02,1943097.74,0,88354.51,0,0,65881.48,2256070.28,434.19
IA,19007,APPANOOSE,983.04,4638934.49,2191803.86,0,85203.82,0,0,49400.89,2312525.92,348.15
IA,19009,AUDUBON,524.6,1635857.96,890667.75,0,40114.08,0,0,17698.81,687377.31,152.07
IA,19011,BENTON,2207.14,6644596.39,2854691.34,0,351016,0,0,142390.64,3296498.4,601.26
IA,19013,BLACK HAWK,10726.79,27761922.52,12943899.09,0,1906011.56,0,0,788335.37,12123676.5,2371.02
